Block_ID,Hash,Date,Time,Size,Weight,Input_total_usd,Output_total_usd,Fee_usd
172524,eee264d781137e021f0011aaa76127b8651a339907f9858115cc36690ffabcef,2012-03-23,2012-03-23 21:27:28,259,1036,46.265,45.0775,1.1875
172562,c3a465882c551067d63128f1297eda90391c97683b38e5118f1a21a9f1bec75e,2012-03-24,2012-03-24 03:06:45,470,1880,681.592,679.247,2.345
172564,9437b30e90b0223960100838ce6f05024a77a4752893a19361aa1392d198330b,2012-03-24,2012-03-24 03:31:19,26549,106196,7721.28,7720.01,1.2663
172696,bfc33eac9d1fd9147c3bc0d26682001fef13417bd0d2ed2067df313d0fa1b734,2012-03-24,2012-03-24 19:42:07,259,1036,64.3468,12.8694,51.4774
172880,2f4486eb5684584c37348464f79521d2c30e1ec1aa8acaca7e81839cb37259e8,2012-03-25,2012-03-25 23:35:34,3860,15440,160.1,141.499,18.6
173154,735e299d8c809f860e31b187329fb85995c613861f9cc7b4acde8262f6da61a1,2012-03-27,2012-03-27 18:50:04,25641,102564,2837.59,2836.39,1.2064
173332,4585812399469180bc87ac1176869e54cf461c28641d473ae35074b4d9b6dd77,2012-03-28,2012-03-28 23:28:24,470,1880,274.893,273.542,1.3514
173390,9c2cd93aa3638d4c4e9befbc850c90d8b4322ac29dbf5caf1ae3923d414215f2,2012-03-29,2012-03-29 08:02:54,291,1164,359.657,357.877,1.78047
173623,36a12b440c68155b65b3bb8b0e3e306e555b6e585e7fa9b94309a347682a5185,2012-03-30,2012-03-30 22:47:13,405,1620,148.598,147.179,1.419
173634,63acb4d52b81c74ff9586b369a9e5d01d459e932ee89bb36ad657c9a4c472a2f,2012-03-30,2012-03-30 23:56:31,257,1028,461.345,459.061,2.28389
173690,a93283ea2a02868567cf6627df4f050ad6efc97099078182cba5668af6cbd4b3,2012-03-31,2012-03-31 07:08:10,470,1880,601.02,598.635,2.385
173778,99c36f341d539455a008d6d9ff2cc241e67114fddeb589a90e38d7aa49a99727,2012-03-31,2012-03-31 20:09:31,4030,16120,1439.06,1435.82,3.2436
174026,21e725399b2ea995a7f00cef8496a7b50f4c8859ed8c3393da3450e8c650c078,2012-04-02,2012-04-02 16:54:02,20240,80960,47.9004,46.8966,1.0038
174190,8367906a26d83b31702f7655875d22c8c62bb6ef33672862bb77043b9028004c,2012-04-03,2012-04-03 22:25:38,291,1164,282.133,280.755,1.3776
