block_id,hash,time,size,version,lock_time,is_coinbase,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,cdd_total
509825,89a24ad7921ae91b466e9a02ed3bbd542a11cfc49d0fce5fa2440e717f3417c3,12/24/17 07:24,9519,1,509824,0,64,2,1004633950,27597.0938,1001000010,27497.2695,3633940,99.8236,381756,10.4868,0.080410552
509573,07460b7c2305ae06e098e9255406a22ab6ed4151c1b912f535611fcd9f08cbd0,12/22/17 13:04,8929,1,509572,0,60,2,1004474441,28853.8301,1001000006,28754.0254,3474435,99.8042,389118,11.1775,0
509354,370ad8793f991b6de4aafcbc2f9388d021c6b49429d373ff1c37d398494a71fd,12/20/17 20:34,5533,1,509353,0,37,2,1003450991,40681.5078,1001000016,40582.1406,2450975,99.3664,442974,17.9589,0.055962113
509961,076404164cd3141e35fce493c770a9905d3dca0d23f96e82e6084481f24f6eb6,12/25/17 02:05,16575,1,0,0,50,2,16355513738,484718.5312,16352188138,484619.9688,3325600,98.5588,200640,5.9462,283.5251526
509990,ae5c4fdb5849053e1c4443bab254286557129bdac653796febc857a7df032f47,12/25/17 07:32,16584,1,0,0,50,2,9351186927,277135.5,9347861327,277036.9375,3325600,98.5588,200531,5.943,377.6305581
509795,fe3544749b5c3ebba26fc55a8ea1bdae7a651be074962c8a23f4198bdc56481b,12/24/17 01:28,8633,1,509794,0,58,2,1004584303,27595.7305,1001000003,27497.2695,3584300,98.46,415186,11.4051,1.948170225
509092,19201a240deeb4b1f1af0b95d7a421fe0263712772b73e92ed5adefc9d638548,12/19/17 07:18,9228,1,509091,0,62,2,1004633222,27142.7793,1001000012,27044.6172,3633210,98.1606,393716,10.6373,0.150028407
509527,f9b8e2d6b8fba78b98516c12819391f4efe1af67cbf60b797ff047d5d7a17a25,12/22/17 05:55,2290,1,509526,0,15,2,1004366054,28850.7168,1001000024,28754.0254,3366030,96.6902,1469880,42.2228,0
509517,af0f78795c39e96eb095fc33cb194fea04e3bc8f3ed35b8c282cd67d134828f9,12/22/17 02:56,16574,1,0,0,50,2,20219146008,580801.0625,20215820408,580705.5,3325600,95.5289,200652,5.7638,168.0062839
509426,d1dce546f9219ed2fcdab73ad08364338461222914cb17b9188e478c77f6e891,12/21/17 08:05,11730,1,0,0,79,2,2042410189,70738.4688,2039663274,70643.3281,2746915,95.1388,234179,8.1107,5206.251631
509736,2c2f14bc91fcfcbafc4f21820405a8625823f32eebc0a04d0e308e878c135028,12/23/17 14:47,6565,1,509734,0,44,2,1003718521,34662.2148,1001000001,34568.332,2718520,93.8808,414093,14.3002,0
509953,e6ccb59c4b05b5d8fec2dbff5c504dd21bc585181eb3a1f1ee366c08b7a4db90,12/25/17 00:32,8339,1,509952,0,56,2,1004151787,29759.4434,1001000012,29666.0352,3151775,93.4073,377956,11.2013,0.391366322
509576,e949e412d6740e18562e247ae3b0236aca80c10644acdfe44499ae5ae5592fb1,12/22/17 13:57,64077,1,0,0,434,1,5155941926,148105.9844,5152691926,148012.625,3250000,93.3572,50720.2,1.4569,16942.78925
509267,18f28c4a7cb731c89e63655d979d159c5ea15fcea3268a5e3016784b29dbcebb,12/20/17 06:10,5977,1,509266,0,40,2,1003287986,40674.8984,1001000166,40582.1484,2287820,92.7519,382771,15.5181,0
509870,0f2fd4dd5a7f68bc7c5f386ba9da5261fe50f11845496fc37bbeb29cb29c3b17,12/24/17 15:35,8930,1,509869,0,60,2,1004367225,27589.7656,1001000100,27497.2715,3367125,92.4942,377058,10.3577,0.003782448
509834,0e86af4f49d4a7eb53f5d7c96feae1d2a031232cbeb85c99337535d5539b24c7,12/24/17 09:34,16578,1,0,0,50,2,37694710702,1035466.188,37691385102,1035374.813,3325600,91.3536,200603,5.5105,658.1736436
509067,b5b5d3f286840f9c2846e8243f469d7bd28ac97febcab240b6acc357a56b6124,12/19/17 02:07,16570,1,0,0,50,2,18193874079,491554.8125,18190548479,491464.9688,3325600,89.8497,200700,5.4224,468.9472417
509533,a59b958ed8daded103a358ffb406c45c8f916d6005bd40fcb4fc1bd669216c4e,12/22/17 06:52,8483,1,509532,0,57,2,1004098497,28843.0312,1001000012,28754.0254,3098485,89.0049,365258,10.4921,0
509425,cfe02a8e574ab19d8890b5c197c70434de9d3bb98ea6cb358673fc6b7a26cd70,12/21/17 07:45,5830,1,509424,0,39,2,1003505735,34756.2188,1001000010,34669.4336,2505725,86.7853,429798,14.886,0
509542,08a0321e46ee5652dd86847e838228237e545ff9df8b5c1258fbadc6f8f9e91c,12/22/17 08:28,435,1,509541,0,2,2,14989980000,430591.6875,14986980000,430505.5,3000000,86.1759,6896550,198.1055,158122.7468
509902,155665a00ff93ec5465b2d18a8c32a87eab83cfac023a60143f5afaa34201091,12/24/17 19:03,7595,1,509901,0,51,2,1004097440,27582.3555,1001000050,27497.2715,3097390,85.0847,407820,11.2027,0.044428154
509472,1fd78d40a1a3cf073d5563e2bfd7366298568874dc3c41f83e7881b6ae7790e6,12/21/17 18:15,6123,1,509471,0,41,2,1003450754,34754.3164,1001000144,34669.4414,2450610,84.8764,400230,13.8619,0.941880531
509760,264f1c41bc1c958faffeae74a7c55e76edf76f31a3bcd4bd3ec88697aac9ff0f,12/23/17 18:58,6563,1,509759,0,44,2,1003452495,34653.0273,1001000060,34568.3359,2452435,84.6919,373676,12.9045,1.081240597
509338,34d2ea8efb2bb8dbb51aa4ef7fb91531206cd52fee960f63e3f82dcf23bc57d2,12/20/17 17:03,3027,2,0,0,20,2,39901469,1617.6693,37901469,1536.5862,2000000,81.0832,660720,26.7866,0.111941852
509839,7e9f80936bd84877d2b0f0a5a554dbfb75cd6db321480fcc384e27806e7e7d2d,12/24/17 10:28,6419,1,509838,0,43,2,1003933873,27577.8633,1001000003,27497.2695,2933870,80.5928,457060,12.5553,0
509318,60258ff3c2f03a1d0f6390679e8b4c17f0fd4e78d96b17b2b0e73b5c72712818,12/20/17 13:51,4798,1,509317,0,32,2,1002966261,40661.8555,1001000006,40582.1406,1966255,79.7151,409807,16.6142,0
509086,784c24e82d26910cd5e78d8bba46138fde86abe722a0d51ef7111c993a61fcc2,12/19/17 06:10,23241,2,0,0,157,2,82460857564,2227894.5,82457957564,2227816,2900000,78.351,124779,3.3712,2166.73324
509268,e7ae2989e8e16428ef6727d9be331287321deb93f9a8036fa148058ca3f370c7,12/20/17 06:41,4353,1,509267,0,29,2,1002912984,40659.6953,1001000019,40582.1406,1912965,77.5547,439459,17.8164,0.019105898
509632,f6e02c09412481cdb9f528f9db6ddb860e3dd38e0f5c1b3c7451b8f7b2ecc2e6,12/23/17 00:59,5828,1,509631,0,39,2,1003233520,34645.4648,1001000085,34568.3359,2233435,77.129,383225,13.2342,0.76793469
